Date,Mkt-RF,Mkt-Rf_div100,SMB,HML,RF, S&P ,SMB-Rf,HML-RF,Mkt-Rf_Cum,SMB-Rf_Cum,HML-RF_Cum
200806,-8.44,-0.0844,1.23,-2.71,0.17,-0.09,0.0106,-0.0288,1.125211439,1.038691998,1.013575367
200807,-0.77,-0.0077,2.61,5.42,0.15,-0.01,0.0246,0.0527,1.11654731,1.064243821,1.066990789
200808,1.53,0.0153,3.6,1.59,0.13,0.01,0.0347,0.0146,1.133630484,1.101173082,1.082568854
200809,-9.24,-0.0924,-1.23,5.91,0.15,-0.1,-0.0138,0.0576,1.028883028,1.085976893,1.14492482
200810,-17.23,-0.1723,-2.6,-2.3,0.08,-0.19,-0.0268,-0.0238,0.851606482,1.056872712,1.11767561
200811,-7.86,-0.0786,-2.85,-6.31,0.03,-0.08,-0.0288,-0.0634,0.784670212,1.026434778,1.046814976
200812,1.74,0.0174,3.46,0.14,0,0.01,0.0346,0.0014,0.798323474,1.061949422,1.048280517
200901,-8.12,-0.0812,0.07,-11.29,0,-0.09,0.0007,-0.1129,0.733499608,1.062692786,0.929929647
200902,-10.1,-0.101,0.05,-6.95,0.01,-0.12,0.0004,-0.0696,0.659416148,1.063117863,0.865206543
200903,8.95,0.0895,0.03,3.47,0.02,0.08,0.0001,0.0345,0.718433893,1.063224175,0.895056169
200904,10.18,0.1018,5.4,5.36,0.01,0.09,0.0539,0.0535,0.791570463,1.120531958,0.942941674
200905,5.21,0.0521,-2.52,0.28,0,0.05,-0.0252,0.0028,0.832811284,1.092294553,0.945581911
200906,0.43,0.0043,2.63,-2.73,0.01,0,0.0262,-0.0274,0.836392373,1.12091267,0.919672966
200907,7.72,0.0772,1.87,4.83,0.01,0.07,0.0186,0.0482,0.900961864,1.141761646,0.964001203
200908,3.33,0.0333,-1.08,7.63,0.01,0.03,-0.0109,0.0762,0.930963894,1.129316444,1.037458095
200909,4.08,0.0408,2.43,1.05,0.01,0.04,0.0242,0.0104,0.968947221,1.156645902,1.048247659
200910,-2.59,-0.0259,-4.35,-4.21,0,-0.02,-0.0435,-0.0421,0.943851488,1.106331805,1.004116433
200911,5.56,0.0556,-2.4,-0.34,0,0.06,-0.024,-0.0034,0.996329631,1.079779842,1.000702437
200912,2.75,0.0275,6.05,-0.17,0.01,0.02,0.0604,-0.0018,1.023728695,1.144998544,0.998901172
201001,-3.36,-0.0336,0.4,0.43,0,-0.04,0.004,0.0043,0.989331411,1.149578538,1.003196448
201002,3.4,0.034,1.19,3.23,0,0.03,0.0119,0.0323,1.022968679,1.163258523,1.035599693
201003,6.31,0.0631,1.48,2.21,0.01,0.06,0.0147,0.022,1.087518003,1.180358423,1.058382886
201004,2,0.02,4.87,2.89,0.01,0.01,0.0486,0.0288,1.109268363,1.237723842,1.088864313
201005,-7.89,-0.0789,0.09,-2.44,0.01,-0.09,0.0008,-0.0245,1.021747089,1.238714022,1.062187137
201006,-5.57,-0.0557,-1.82,-4.7,0.01,-0.06,-0.0183,-0.0471,0.964835776,1.216045555,1.012158123
201007,6.93,0.0693,0.2,-0.31,0.01,0.07,0.0019,-0.0032,1.031698896,1.218356042,1.008919217
201008,-4.77,-0.0477,-3,-1.9,0.01,-0.05,-0.0301,-0.0191,0.982486858,1.181683525,0.98964886
201009,9.54,0.0954,3.96,-3.16,0.01,0.08,0.0395,-0.0317,1.076216105,1.228360024,0.958276991
201010,3.88,0.0388,1.14,-2.43,0.01,0.04,0.0113,-0.0244,1.117973289,1.242240492,0.934895033
201011,0.6,0.006,3.77,-0.96,0.01,0,0.0376,-0.0097,1.124681129,1.288948735,0.925826551
201012,6.82,0.0682,0.73,3.7,0.01,0.06,0.0072,0.0369,1.201384382,1.298229166,0.959989551
201101,1.99,0.0199,-2.5,0.83,0.01,0.02,-0.0251,0.0082,1.225291931,1.265643614,0.967861465
201102,3.49,0.0349,1.53,1.27,0.01,0.03,0.0152,0.0126,1.26805462,1.284881396,0.980056519
